Ticker,Name,Price,Market Cap,GICS Ind Name,GICS Sector,Sec Type
AAPL UW Equity,Apple Inc,165.35,2657298939904,"Technology Hardware, Storage & Peripherals",Information Technology,Common Stock
MSFT UW Equity,Microsoft Corp,282.91,2109912252416,Software,Information Technology,Common Stock
GOOGL UW Equity,Alphabet Inc,117.47,1537232863232,Interactive Media & Services,Communication Services,Common Stock
GOOG UW Equity,Alphabet Inc,118.22,1537232863232,Interactive Media & Services,Communication Services,Common Stock
AMZN UW Equity,Amazon.com Inc,140.8,1434407665664,Internet & Direct Marketing Retail,Consumer Discretionary,Common Stock
TSLA UW Equity,Tesla Inc,864.51,902972047360,Automobiles,Consumer Discretionary,Common Stock
BRK/B UN Equity,Berkshire Hathaway Inc,292.07,645271322624,Diversified Financial Services,Financials,Common Stock
UNH UN Equity,UnitedHealth Group Inc,535.06,500485881856,Health Care Providers & Services,Health Care,Common Stock
NVDA UW Equity,NVIDIA Corp,189.89,474724990976,Semiconductors & Semiconductor Equipment,Information Technology,Common Stock
V UN Equity,Visa Inc,215.87,461089210368,IT Services,Information Technology,Common Stock
JNJ UN Equity,Johnson & Johnson,171.11,449878982656,Pharmaceuticals,Health Care,Common Stock
META UW Equity,Meta Platforms Inc,167.11,449116209152,Interactive Media & Services,Communication Services,Common Stock
XOM UN Equity,Exxon Mobil Corp,88.45,368627417088,"Oil, Gas & Consumable Fuels",Energy,Common Stock
WMT UN Equity,Walmart Inc,126.58,346974781440,Food & Staples Retailing,Consumer Staples,Common Stock
PG UN Equity,Procter & Gamble Co/The,144.72,345816236032,Household Products,Consumer Staples,Common Stock
MA UN Equity,Mastercard Inc,357.51,345489113088,IT Services,Information Technology,Common Stock
JPM UN Equity,JPMorgan Chase & Co,115.76,339474579456,Banks,Financials,Common Stock
HD UN Equity,Home Depot Inc/The,309.69,318285414400,Specialty Retail,Consumer Discretionary,Common Stock
CVX UN Equity,Chevron Corp,153.64,300740280320,"Oil, Gas & Consumable Fuels",Energy,Common Stock
LLY UN Equity,Eli Lilly & Co,301.32,286306664448,Pharmaceuticals,Health Care,Common Stock
PFE UN Equity,Pfizer Inc,49.27,276448837632,Pharmaceuticals,Health Care,Common Stock
KO UN Equity,Coca-Cola Co/The,63.38,274094997504,Beverages,Consumer Staples,Common Stock
BAC UN Equity,Bank of America Corp,33.96,272876716032,Banks,Financials,Common Stock
ABBV UN Equity,AbbVie Inc,138.04,244068040704,Biotechnology,Health Care,Common Stock
PEP UW Equity,PepsiCo Inc,174.55,240893804544,Beverages,Consumer Staples,Common Stock
COST UW Equity,Costco Wholesale Corp,540.67,239496773632,Food & Staples Retailing,Consumer Staples,Common Stock
TMO UN Equity,Thermo Fisher Scientific Inc,590.26,231257358336,Life Sciences Tools & Services,Health Care,Common Stock
AVGO UW Equity,Broadcom Inc,551.44,222681235456,Semiconductors & Semiconductor Equipment,Information Technology,Common Stock
MRK UN Equity,Merck & Co Inc,87.41,221433987072,Pharmaceuticals,Health Care,Common Stock
DHR UN Equity,Danaher Corp,290.0,210959155200,Life Sciences Tools & Services,Health Care,Common Stock
ORCL UN Equity,Oracle Corp,77.35,206132019200,Software,Information Technology,Common Stock
ACN UN Equity,Accenture PLC,309.35,205763510272,IT Services,Information Technology,Common Stock
ADBE UW Equity,Adobe Inc,433.43,202845241344,Software,Information Technology,Common Stock
DIS UN Equity,Walt Disney Co/The,106.63,194224816128,Entertainment,Communication Services,Common Stock
ABT UN Equity,Abbott Laboratories,109.25,191320752128,Health Care Equipment & Supplies,Health Care,Common Stock
MCD UN Equity,McDonald's Corp,259.23,190719983616,"Hotels, Restaurants & Leisure",Consumer Discretionary,Common Stock
CRM UN Equity,Salesforce Inc,190.17,189219143680,Software,Information Technology,Common Stock
VZ UN Equity,Verizon Communications Inc,44.95,188777168896,Diversified Telecommunication Services,Communication Services,Common Stock
CSCO UW Equity,Cisco Systems Inc,45.01,186384793600,Communications Equipment,Information Technology,Common Stock
TMUS UW Equity,T-Mobile US Inc,144.56,181284208640,Wireless Telecommunication Services,Communication Services,Common Stock
NKE UN Equity,NIKE Inc,113.87,178611453952,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Common Stock
NEE UN Equity,NextEra Energy Inc,87.98,172861276160,Electric Utilities,Utilities,Common Stock
UPS UN Equity,United Parcel Service Inc,196.76,170919116800,Air Freight & Logistics,Industrials,Common Stock
CMCSA UW Equity,Comcast Corp,38.27,168894627840,Media,Communication Services,Common Stock
QCOM UW Equity,QUALCOMM Inc,150.21,168685830144,Semiconductors & Semiconductor Equipment,Information Technology,Common Stock
